Date,Durham,Halton,Peel,Toronto,York
2020-02-28,2,0,0,1,2
2020-03-13,2,6,4,13,0
2020-03-14,6,0,2,7,5
2020-03-16,1,3,4,19,11
2020-03-17,1,5,4,17,2
2020-03-18,5,1,2,26,6
2020-03-19,6,0,3,31,10
2020-03-20,5,1,7,33,23
2020-03-21,7,3,1,13,10
2020-03-22,3,3,0,31,10
2020-03-23,11,3,11,40,27
2020-03-24,7,2,19,39,39
2020-03-25,9,1,12,31,20
2020-03-26,22,3,30,106,23
2020-03-27,14,5,43,94,30
2020-03-28,6,15,25,41,17
2020-03-29,11,10,31,38,16
2020-03-30,28,14,74,69,66
2020-03-31,17,16,23,85,42
2020-04-01,27,28,52,86,46
2020-04-02,21,22,65,108,37
2020-04-03,29,25,36,107,38
2020-04-04,9,11,33,117,27
2020-04-05,11,16,99,70,28
2020-04-06,23,21,51,108,24
2020-04-07,10,7,55,191,39
2020-04-08,18,22,91,148,44
2020-04-09,23,11,49,155,51
2020-04-10,14,9,58,126,27
2020-04-11,21,13,77,122,49
2020-04-12,53,44,49,153,44
2020-04-13,30,9,79,235,59
2020-04-14,19,7,74,196,74
2020-04-15,47,7,63,212,56
2020-04-16,26,7,56,277,52
2020-04-17,53,9,78,343,46
2020-04-18,54,9,187,162,48
2020-04-19,42,4,147,177,48
2020-04-20,44,4,80,285,67
2020-04-21,32,5,90,189,47
2020-04-22,27,18,85,213,45
2020-04-23,30,6,62,186,54
2020-04-24,19,5,54,174,37
2020-04-25,33,5,90,120,20
2020-04-26,19,5,37,103,15
2020-04-27,18,5,50,152,40
2020-04-28,13,7,60,158,27
2020-04-29,38,14,58,151,40
2020-04-30,27,5,45,184,27
2020-05-01,29,8,94,176,42
2020-05-02,21,7,60,145,12
2020-05-03,28,2,57,137,10
2020-05-04,9,3,38,146,18
2020-05-05,27,18,69,153,33
2020-05-06,22,6,70,157,25
2020-05-07,6,2,57,114,25
2020-05-08,14,4,49,133,22
2020-05-09,12,4,72,119,27
2020-05-10,5,1,31,148,21
2020-05-11,9,3,43,96,13
2020-05-12,19,6,54,78,16
2020-05-13,7,5,57,153,29
2020-05-14,10,18,71,115,33
2020-05-15,17,8,60,120,32
2020-05-16,19,5,48,171,19
2020-05-17,25,24,89,174,24
2020-05-18,14,4,80,167,28
2020-05-19,12,2,46,172,28
2020-05-20,22,5,40,186,45
2020-05-21,6,7,88,143,28
2020-05-22,16,4,127,129,46
2020-05-23,17,1,100,162,25
2020-05-24,23,6,92,123,37
2020-05-25,19,3,150,157,35
2020-05-26,6,1,54,110,47
2020-05-27,20,5,92,145,19
2020-05-28,13,5,70,159,18
2020-05-29,13,4,93,407,20
2020-05-30,13,2,73,181,26
2020-05-31,13,1,88,120,45
2020-06-01,14,7,34,155,33
2020-06-02,10,7,75,156,31
2020-06-03,17,6,67,171,37
2020-06-04,39,3,54,122,18
2020-06-05,4,3,57,120,21
2020-06-06,12,3,47,124,11
2020-06-07,9,2,44,88,17
2020-06-08,16,5,28,88,18
2020-06-09,9,4,36,79,18
2020-06-10,8,7,36,118,13
2020-06-11,6,3,30,81,21
2020-06-12,4,13,34,77,23
2020-06-13,10,2,23,85,8
2020-06-14,5,2,31,62,6
2020-06-15,3,2,33,63,13
2020-06-16,2,2,27,82,13
2020-06-17,5,3,46,71,11
2020-06-18,7,4,52,53,19
2020-06-19,6,0,30,63,13
2020-06-20,2,4,34,59,9
2020-06-21,3,4,52,43,7
2020-06-22,2,9,42,52,25
2020-06-23,5,2,36,53,19
2020-06-24,2,2,44,62,13
2020-06-25,4,3,43,43,15
2020-06-26,3,5,45,75,8
2020-06-27,1,6,38,54,12
2020-06-28,10,4,21,46,6
2020-06-29,1,1,15,44,22
2020-06-30,2,1,33,90,16
2020-07-01,3,4,27,78,17
2020-07-02,4,3,17,56,26
2020-07-03,3,3,43,29,10
2020-07-04,6,3,28,45,12
2020-07-05,2,8,23,33,7
2020-07-06,5,7,40,28,8
2020-07-07,2,4,23,41,6
2020-07-08,6,1,26,39,7
2020-07-09,11,3,32,50,13
2020-07-10,5,3,38,28,16
2020-07-11,4,2,36,31,10
2020-07-12,3,1,36,21,11
2020-07-13,6,4,17,30,12
2020-07-14,5,5,32,34,4
2020-07-15,9,2,32,34,8
2020-07-16,4,2,26,42,8
2020-07-17,1,2,28,26,10
2020-07-18,3,4,44,34,8
2020-07-19,3,0,24,26,3
2020-07-20,2,1,16,27,13
2020-07-21,2,2,20,20,7
2020-07-22,3,2,21,14,11
2020-07-23,2,5,19,35,6
2020-07-24,1,1,16,25,2
2020-07-25,1,2,12,17,5
2020-07-26,1,0,17,13,5
2020-07-27,1,0,8,12,5
2020-07-28,4,1,10,15,9
2020-07-29,1,0,13,15,3
2020-07-31,9,0,9,14,5
2020-08-01,5,2,13,17,5
2020-08-02,1,0,12,13,4
2020-08-03,1,1,10,22,9
2020-08-04,2,1,10,17,7
2020-08-05,5,1,10,19,5
2020-08-06,1,5,19,25,3
2020-08-07,1,0,16,21,6
2020-08-08,2,5,14,18,5
2020-08-09,2,2,10,10,5
2020-08-10,1,3,14,10,2
2020-08-11,4,1,19,14,2
2020-08-12,4,3,20,18,5
2020-08-13,1,0,22,23,2
2020-08-15,2,2,25,17,5
2020-08-16,4,1,19,17,5
2020-08-17,1,1,15,17,0
2020-08-19,3,1,18,23,4
2020-08-20,4,1,23,30,9
2020-08-21,7,3,34,23,7
2020-08-22,2,1,20,20,9
2020-08-23,1,4,25,30,7
2020-08-24,2,2,30,35,13
2020-08-25,10,3,29,21,3
2020-08-26,1,4,27,35,15
2020-08-27,10,3,41,44,10
2020-08-28,3,3,22,34,7
2020-08-29,3,0,20,45,7
2020-08-30,3,6,35,31,9
2020-08-31,6,2,34,36,16
2020-09-01,3,0,43,35,9
2020-09-02,1,3,59,32,5
2020-09-03,4,3,52,50,11
2020-09-04,8,2,40,42,17
2020-09-05,1,4,47,37,19
2020-09-06,3,7,70,56,15
2020-09-07,4,6,37,54,19
2020-09-08,12,7,33,53,23
2020-09-09,10,4,28,74,15
2020-09-10,6,4,48,63,13
2020-09-11,8,10,55,76,13
2020-09-12,10,5,65,103,16
2020-09-13,9,4,41,69,21
2020-09-14,16,7,44,62,43
2020-09-15,10,8,63,102,41
2020-09-16,2,13,96,85,32
2020-09-17,9,19,93,146,37
2020-09-18,8,30,95,128,33
2020-09-19,19,16,83,160,22
2020-09-20,7,9,93,126,24
2020-09-21,10,17,89,122,31
2020-09-22,10,9,43,134,20
2020-09-23,17,11,61,172,27
2020-09-24,4,17,83,163,42
2020-09-25,11,8,137,190,45
2020-09-26,17,11,109,256,62
2020-09-27,11,16,79,247,36
2020-09-28,22,20,90,212,52
2020-09-29,16,10,123,277,37
2020-09-30,29,12,118,276,43
2020-10-01,14,10,88,283,44
2020-10-02,12,31,128,262,36
2020-10-03,12,13,77,246,55
2020-10-04,12,24,103,223,51
2020-10-05,14,26,82,179,65
2020-10-06,13,29,138,268,72
2020-10-07,32,36,133,325,84
2020-10-08,20,52,102,312,62
2020-10-09,37,49,137,235,85
2020-10-10,11,26,163,217,81
2020-10-11,13,16,147,329,38
2020-10-12,24,29,139,193,56
2020-10-13,41,28,175,296,81
2020-10-14,28,46,153,333,127
2020-10-15,33,26,127,291,78
2020-10-16,33,34,141,214,106
2020-10-17,26,25,181,226,75
2020-10-18,31,34,135,308,102
2020-10-19,36,32,141,284,80
2020-10-20,24,23,146,346,69
2020-10-21,43,33,178,301,87
2020-10-22,51,23,196,350,122
2020-10-23,35,26,237,330,101
2020-10-24,39,35,210,294,128
2020-10-25,47,18,203,331,100
2020-10-26,26,18,152,304,104
2020-10-27,25,38,173,387,94
2020-10-28,32,22,253,276,103
2020-10-29,17,43,193,292,119
2020-10-30,32,23,322,340,81
2020-10-31,23,27,242,306,96
2020-11-01,63,49,282,406,80
2020-11-02,63,55,277,299,69
2020-11-03,26,47,209,328,77
2020-11-04,25,47,264,301,94
2020-11-05,38,52,284,408,143
2020-11-06,38,64,378,449,91
2020-11-07,33,45,269,375,108
2020-11-08,23,53,346,507,106
2020-11-09,54,32,505,409,153
2020-11-10,60,58,434,507,175
2020-11-11,61,41,492,455,152
2020-11-12,48,57,562,499,122
2020-11-13,52,57,416,439,152
2020-11-14,61,51,410,452,173
2020-11-15,47,57,336,472,126
2020-11-16,59,58,419,397,152
2020-11-17,31,42,385,407,128
2020-11-18,84,40,409,424,171
2020-11-19,33,50,428,414,161
2020-11-20,58,50,532,523,140
2020-11-21,37,45,476,491,137
2020-11-22,30,29,336,450,165
2020-11-23,30,27,399,414,161
2020-11-24,35,26,454,399,144
2020-11-25,64,107,451,510,176
2020-11-26,44,89,515,593,134
2020-11-27,68,28,447,537,203
2020-11-28,127,36,413,538,180
2020-11-29,47,54,392,619,191
